CustomerID,Age,Annual Income (k$),Spending Score (1-100),Genre_Male,Cluster_group
1,19,15,39,1,4
2,21,15,81,1,1
3,20,16,6,0,0
4,23,16,77,0,1
5,31,17,40,0,4
6,22,17,76,0,1
7,35,18,6,0,0
8,23,18,94,0,3
9,64,19,3,1,0
10,30,19,72,0,1
11,67,19,14,1,0
12,35,19,99,0,3
13,58,20,15,0,0
14,24,20,77,0,1
15,37,20,13,1,0
16,22,20,79,1,1
17,35,21,35,0,4
18,20,21,66,1,1
19,52,23,29,1,4
20,35,23,98,0,3
21,35,24,35,1,4
22,25,24,73,1,1
23,46,25,5,0,0
24,31,25,73,1,1
25,54,28,14,0,0
26,29,28,82,1,1
27,45,28,32,0,4
28,35,28,61,1,2
29,40,29,31,0,4
30,23,29,87,0,3
31,60,30,4,1,0
32,21,30,73,0,1
33,53,33,4,1,0
34,18,33,92,1,3
35,49,33,14,0,0
36,21,33,81,0,1
37,42,34,17,0,0
38,30,34,73,0,1
39,36,37,26,0,4
40,20,37,75,0,1
41,65,38,35,0,4
42,24,38,92,1,3
43,48,39,36,1,4
44,31,39,61,0,2
45,49,39,28,0,4
46,24,39,65,0,1
47,50,40,55,0,2
48,27,40,47,0,2
49,29,40,42,0,4
50,31,40,42,0,4
51,49,42,52,0,2
52,33,42,60,1,2
53,31,43,54,0,2
54,59,43,60,1,2
55,50,43,45,0,2
56,47,43,41,1,4
57,51,44,50,0,2
58,69,44,46,1,2
59,27,46,51,0,2
60,53,46,46,1,2
61,70,46,56,1,2
62,19,46,55,1,2
63,67,47,52,0,2
64,54,47,59,0,2
65,63,48,51,1,2
66,18,48,59,1,2
67,43,48,50,0,2
68,68,48,48,0,2
69,19,48,59,1,2
70,32,48,47,0,2
71,70,49,55,1,2
72,47,49,42,0,4
73,60,50,49,0,2
74,60,50,56,0,2
75,59,54,47,1,2
76,26,54,54,1,2
77,45,54,53,0,2
78,40,54,48,1,2
79,23,54,52,0,2
80,49,54,42,0,4
81,57,54,51,1,2
82,38,54,55,1,2
83,67,54,41,1,4
84,46,54,44,0,4
85,21,54,57,0,2
86,48,54,46,1,2
87,55,57,58,0,2
88,22,57,55,0,2
89,34,58,60,0,2
90,50,58,46,0,2
91,68,59,55,0,2
92,18,59,41,1,4
93,48,60,49,1,2
94,40,60,40,0,4
95,32,60,42,0,4
96,24,60,52,1,2
97,47,60,47,0,2
98,27,60,50,0,2
99,48,61,42,1,4
100,20,61,49,1,2
101,23,62,41,0,4
102,49,62,48,0,2
103,67,62,59,1,2
104,26,62,55,1,2
105,49,62,56,1,2
106,21,62,42,0,4
107,66,63,50,0,2
108,54,63,46,1,2
109,68,63,43,1,4
110,66,63,48,1,2
111,65,63,52,1,2
112,19,63,54,0,2
113,38,64,42,0,4
114,19,64,46,1,2
115,18,65,48,0,2
116,19,65,50,0,2
117,63,65,43,0,4
118,49,65,59,0,2
119,51,67,43,0,4
120,50,67,57,0,2
121,27,67,56,1,2
122,38,67,40,0,4
123,40,69,58,0,2
124,39,69,91,1,3
125,23,70,29,0,4
126,31,70,77,0,1
127,43,71,35,1,4
128,40,71,95,1,3
129,59,71,11,1,0
130,38,71,75,1,1
131,47,71,9,1,0
132,39,71,75,1,1
133,25,72,34,0,4
134,31,72,71,0,1
135,20,73,5,1,0
136,29,73,88,0,3
137,44,73,7,0,0
138,32,73,73,1,1
139,19,74,10,1,0
140,35,74,72,0,1
141,57,75,5,0,0
142,32,75,93,1,3
143,28,76,40,0,4
144,32,76,87,0,3
145,25,77,12,1,0
146,28,77,97,1,3
147,48,77,36,1,4
148,32,77,74,0,1
149,34,78,22,0,0
150,34,78,90,1,3
151,43,78,17,1,0
152,39,78,88,1,3
153,44,78,20,0,0
154,38,78,76,0,1
155,47,78,16,0,0
156,27,78,89,0,3
157,37,78,1,1,0
158,30,78,78,0,1
159,34,78,1,1,0
160,30,78,73,0,1
161,56,79,35,0,4
162,29,79,83,0,3
163,19,81,5,1,0
164,31,81,93,0,3
165,50,85,26,1,4
166,36,85,75,0,1
167,42,86,20,1,0
168,33,86,95,0,3
169,36,87,27,0,4
170,32,87,63,1,2
171,40,87,13,1,0
172,28,87,75,1,1
173,36,87,10,1,0
174,36,87,92,1,3
175,52,88,13,0,0
176,30,88,86,0,3
177,58,88,15,1,0
178,27,88,69,1,1
179,59,93,14,1,0
180,35,93,90,1,3
181,37,97,32,0,4
182,32,97,86,0,3
183,46,98,15,1,0
184,29,98,88,0,3
185,41,99,39,0,4
186,30,99,97,1,3
187,54,101,24,0,0
188,28,101,68,1,1
189,41,103,17,0,0
190,36,103,85,0,3
191,34,103,23,0,0
192,32,103,69,0,1
193,33,113,8,1,0
194,38,113,91,0,3
195,47,120,16,0,0
196,35,120,79,0,1
197,45,126,28,0,4
198,32,126,74,1,1
199,32,137,18,1,0
200,30,137,83,1,3
